method,sisdri_src1,sisdri_src2,sisdri_mean
DCB-NMF,16.746976095544667,15.240789931699757,15.993883013622213
MVDR+Mask,17.301799745930598,14.242976771269404,15.772388258600001
Ratio+DS,16.168964142916902,12.84069061104286,14.50482737697988
NMF,14.25553441034355,10.236418251123649,12.2459763307336
MVDR,11.306688382674487,11.443529504140088,11.375108943407287
MWF,10.943656811973447,11.436360296638389,11.19000855430592
MPDR,10.41116015380633,10.499363780852265,10.455261967329298
DS,4.2716903435805005,4.579654588223349,4.425672465901925
GEV,3.5084094358378763,-0.8509872703057371,1.3287110827660698
LCMV,0.7906362098565223,-0.025912259270426286,0.382361975293048
ZF,0.5150441242980597,-0.22093015440939934,0.14705698494433017
AuxIVA,2.05906433171823,-17.072292123891614,-7.506613896086693
