method,angular_sep_deg,overlap_target,overlap_realized_mean,sisdri_mean,is_best,dcb_alpha_mean
NMF,90,0.25,0.247,11.7832,0,
DS,90,0.25,0.247,4.5451,0,
Ratio+DS,90,0.25,0.247,14.2795,0,
MPDR,90,0.25,0.247,10.7748,0,
MVDR,90,0.25,0.247,11.4108,0,
LCMV,90,0.25,0.247,-0.5551,0,
GEV,90,0.25,0.247,1.0111,0,
MWF,90,0.25,0.247,11.2258,0,
ZF,90,0.25,0.247,-0.2401,0,
MVDR+Mask,90,0.25,0.247,15.5567,0,
DCB-NMF,90,0.25,0.247,16.3392,1,0.60
NMF,90,0.50,0.498,2.0813,0,
DS,90,0.50,0.498,4.5568,0,
Ratio+DS,90,0.50,0.498,4.8293,0,
MPDR,90,0.50,0.498,10.5081,0,
MVDR,90,0.50,0.498,11.0095,0,
LCMV,90,0.50,0.498,-10.0953,0,
GEV,90,0.50,0.498,-10.9567,0,
MWF,90,0.50,0.498,4.7220,0,
ZF,90,0.50,0.498,-2.7217,0,
MVDR+Mask,90,0.50,0.498,7.3724,0,
DCB-NMF,90,0.50,0.498,13.4202,1,0.70
NMF,90,0.75,0.749,2.7900,0,
DS,90,0.75,0.749,4.5899,0,
Ratio+DS,90,0.75,0.749,2.4845,0,
MPDR,90,0.75,0.749,10.6187,0,
MVDR,90,0.75,0.749,10.8668,0,
LCMV,90,0.75,0.749,-8.2393,0,
GEV,90,0.75,0.749,-10.5397,0,
MWF,90,0.75,0.749,4.2146,0,
ZF,90,0.75,0.749,-2.4282,0,
MVDR+Mask,90,0.75,0.749,6.5660,0,
DCB-NMF,90,0.75,0.749,13.3587,1,0.40
NMF,120,0.25,0.247,0.5356,0,
DS,120,0.25,0.247,5.3408,0,
Ratio+DS,120,0.25,0.247,2.7686,0,
MPDR,120,0.25,0.247,10.7564,0,
MVDR,120,0.25,0.247,11.5275,0,
LCMV,120,0.25,0.247,-1.1348,0,
GEV,120,0.25,0.247,-12.2300,0,
MWF,120,0.25,0.247,4.8020,0,
ZF,120,0.25,0.247,-1.3954,0,
MVDR+Mask,120,0.25,0.247,5.5006,0,
DCB-NMF,120,0.25,0.247,12.5080,1,0.70
NMF,120,0.50,0.498,2.0598,0,
DS,120,0.50,0.498,5.3229,0,
Ratio+DS,120,0.50,0.498,3.8665,0,
MPDR,120,0.50,0.498,10.8030,0,
MVDR,120,0.50,0.498,11.3998,0,
LCMV,120,0.50,0.498,0.8722,0,
GEV,120,0.50,0.498,-12.8352,0,
MWF,120,0.50,0.498,4.1840,0,
ZF,120,0.50,0.498,-0.0481,0,
MVDR+Mask,120,0.50,0.498,7.8170,0,
DCB-NMF,120,0.50,0.498,14.2275,1,0.40
NMF,120,0.75,0.749,2.6233,0,
DS,120,0.75,0.749,5.3214,0,
Ratio+DS,120,0.75,0.749,6.1416,0,
MPDR,120,0.75,0.749,10.6851,0,
MVDR,120,0.75,0.749,10.7321,0,
LCMV,120,0.75,0.749,5.4525,0,
GEV,120,0.75,0.749,-17.7619,0,
MWF,120,0.75,0.749,3.4577,0,
ZF,120,0.75,0.749,3.3826,0,
MVDR+Mask,120,0.75,0.749,11.0336,0,
DCB-NMF,120,0.75,0.749,15.3513,1,0.30
NMF,150,0.25,0.247,13.2143,0,
DS,150,0.25,0.247,5.7551,0,
Ratio+DS,150,0.25,0.247,15.6189,0,
MPDR,150,0.25,0.247,11.0966,0,
MVDR,150,0.25,0.247,12.3798,0,
LCMV,150,0.25,0.247,-5.7898,0,
GEV,150,0.25,0.247,-4.5768,0,
MWF,150,0.25,0.247,13.2506,0,
ZF,150,0.25,0.247,-3.7183,0,
MVDR+Mask,150,0.25,0.247,17.6778,0,
DCB-NMF,150,0.25,0.247,17.8333,1,0.60
NMF,150,0.50,0.498,0.9436,0,
DS,150,0.50,0.498,5.7626,0,
Ratio+DS,150,0.50,0.498,3.6720,0,
MPDR,150,0.50,0.498,11.0420,0,
MVDR,150,0.50,0.498,11.9605,0,
LCMV,150,0.50,0.498,1.1011,0,
GEV,150,0.50,0.498,-19.6933,0,
MWF,150,0.50,0.498,4.2043,0,
ZF,150,0.50,0.498,0.4540,0,
MVDR+Mask,150,0.50,0.498,7.6568,0,
DCB-NMF,150,0.50,0.498,14.0467,1,0.60
NMF,150,0.75,0.749,0.8702,0,
DS,150,0.75,0.749,5.7910,0,
Ratio+DS,150,0.75,0.749,3.7651,0,
MPDR,150,0.75,0.749,11.0983,0,
MVDR,150,0.75,0.749,11.8111,0,
LCMV,150,0.75,0.749,5.2143,0,
GEV,150,0.75,0.749,-18.8892,0,
MWF,150,0.75,0.749,2.0954,0,
ZF,150,0.75,0.749,3.5920,0,
MVDR+Mask,150,0.75,0.749,7.8830,0,
DCB-NMF,150,0.75,0.749,14.5226,1,0.50
