method,90deg_ov0.25,90deg_ov0.50,90deg_ov0.75,120deg_ov0.25,120deg_ov0.50,120deg_ov0.75,150deg_ov0.25,150deg_ov0.50,150deg_ov0.75
NMF,11.78,2.08,2.79,0.54,2.06,2.62,13.21,0.94,0.87
DS,4.55,4.56,4.59,5.34,5.32,5.32,5.76,5.76,5.79
Ratio+DS,14.28,4.83,2.48,2.77,3.87,6.14,15.62,3.67,3.77
MPDR,10.77,10.51,10.62,10.76,10.80,10.69,11.10,11.04,11.10
MVDR,11.41,11.01,10.87,11.53,11.40,10.73,12.38,11.96,11.81
LCMV,-0.56,-10.10,-8.24,-1.13,0.87,5.45,-5.79,1.10,5.21
GEV,1.01,-10.96,-10.54,-12.23,-12.84,-17.76,-4.58,-19.69,-18.89
MWF,11.23,4.72,4.21,4.80,4.18,3.46,13.25,4.20,2.10
ZF,-0.24,-2.72,-2.43,-1.40,-0.05,3.38,-3.72,0.45,3.59
MVDR+Mask,15.56,7.37,6.57,5.50,7.82,11.03,17.68,7.66,7.88
DCB-NMF,16.34*,13.42*,13.36*,12.51*,14.23*,15.35*,17.83*,14.05*,14.52*
